timestamp,Compound_V_Vials_open,Compound_V_Vials_high,Compound_V_Vials_low,Compound_V_Vials_close,Compound_V_Vials_volume,Heisenberg_Crystals_open,Heisenberg_Crystals_high,Heisenberg_Crystals_low,Heisenberg_Crystals_close,Heisenberg_Crystals_volume,Infinity_Stones_open,Infinity_Stones_high,Infinity_Stones_low,Infinity_Stones_close,Infinity_Stones_volume,Pieces_Of_Eight_open,Pieces_Of_Eight_high,Pieces_Of_Eight_low,Pieces_Of_Eight_close,Pieces_Of_Eight_volume,Solaris_Stardust_open,Solaris_Stardust_high,Solaris_Stardust_low,Solaris_Stardust_close,Solaris_Stardust_volume,Valyrian_Steel_open,Valyrian_Steel_high,Valyrian_Steel_low,Valyrian_Steel_close,Valyrian_Steel_volume,Jack,Queen,Ace,King,Black_Joker,Red_Joker
63,961.8994,962.5701,961.6766,962.4023,5956,100.1146,100.6335,99.9349,100.1466,1517.7,120.1454,121.2548,119.9684,121.2287,10999.08,93.2074,93.3234,92.5917,92.7667,1641,1068.4381,1068.9965,1064.1297,1066.0604,10396,986.8913,1005.5336,986.8913,1004.1167,577.96,0,0,0,0,0,0
64,962.4023,963.7128,961.4249,962.9641,4564,99.9919,100.2123,99.6878,100.0689,2265.3,121.2287,121.327,121.0677,121.2287,6972.79,92.7667,92.8238,92.4913,92.5379,1464,1066.0604,1068.4486,1060.7984,1063.5923,3955,1006.4097,1025.339,1006.4097,1025.339,592.87,0,0,0,0,0,0
65,962.9641,963.4293,959.593,961.4426,6756,99.9918,100.6273,99.819,100.5367,2353,121.2287,121.3823,106.8641,107,13487.32,92.5379,92.5391,92.2932,92.3351,1577,1063.5923,1066.3098,1059.3849,1061.2886,9040,1028.4468,1032.0037,1019.8011,1019.8011,585.06,0,0,0,0,0,0
66,960.8244,961.2482,955.1441,956.0355,7756,100.952,101.2537,100.4666,101.0388,1327.1,107,107.0297,105.3068,105.5879,5464.15,92.3351,92.4728,91.8703,91.9081,1162,1061.2886,1062.3094,1058.8155,1058.9949,1469,1024.8883,1035.497,1024.8883,1035.497,576.56,0,0,0,0,0,0
67,956.0355,957.8589,950.2865,951.3173,783,101.1761,101.2305,100.2703,100.3727,827,105.5879,105.6465,105.1526,105.6103,12588.63,91.9081,92.0149,91.5949,91.6689,1273,1058.9949,1060.4875,1053.5308,1056.5225,5311,1042.8814,1048.0142,1042.8814,1048.0142,587.14,0,0,0,0,0,1
68,951.3173,952.5888,944.5475,945.6631,2443,100.0506,100.5577,99.6579,99.7227,1606,105.6103,105.8428,105.4819,105.67,5355.3,91.6689,92.1766,91.5566,92.0884,1820,1056.5225,1056.9175,1052.3505,1054.183,6102,1044.6015,1044.6015,1028.5999,1037.7638,581.48,1,0,0,0,-1,0
69,945.6631,946.2017,939.9174,940.6583,2662,100.1014,100.1224,99.7211,99.847,1713.4,105.67,105.7439,104.9795,105.0596,8450.48,92.0884,92.1555,91.9659,91.9709,1766,1054.183,1057.0124,1051.2109,1052.0354,8136,1038.7446,1038.7446,1023.1352,1023.1352,581.95,0,0,1,0,0,0
70,940.6583,941.3657,934.3281,934.9239,3219,100.0085,100.1509,99.8647,99.9742,1165.3,105.0596,106.6679,104.9998,106.6002,12463.58,91.9709,98.5196,91.8544,92.4074,1878,1052.0354,1053.3215,1048.1294,1049.6716,1243,1025.9942,1025.9942,1010.7785,1010.7785,577.53,0,0,0,0,0,0
71,934.9239,934.9491,928.912,929.3789,8386,99.8133,100.5642,99.7265,100.431,405.4,106.6002,106.794,105.5758,105.7121,7942.57,92.4074,94.2974,92.2757,94.1232,1801,1049.6716,1050.6153,1045.9465,1047.0789,9718,1010.1331,1010.1331,991.5828,992.0818,577.95,0,0,0,0,0,0
72,929.3789,930.9698,922.9559,924.147,6135,100.6395,101.1937,100.2634,100.9865,1224.1,105.7121,106.1894,105.15,105.3274,6847.88,94.1232,94.4239,94.0798,94.2828,1896,1047.0789,1048.7243,1042.096,1044.9507,904,993.1793,993.1793,973.3937,976.324,585.18,0,0,1,0,0,0
73,924.147,926.5089,923.8748,926.3253,8724,100.4088,101.0977,100.2717,100.3284,2172.6,105.3274,105.3449,103.5903,103.5958,8481.67,94.2828,94.3525,94.0662,94.1694,1862,1044.9507,1045.4555,1040.1025,1042.5966,8023,976.6925,976.6925,963.3258,964.7755,581.73,0,0,0,0,-1,0
74,926.3253,926.8671,925.6112,926.29,7357,100.1473,100.4354,99.7377,99.7795,1622.6,103.5958,103.6532,102.6662,103.2135,12073.61,94.1694,94.6313,94.1256,94.5221,1969,1042.5966,1045.6464,1039.6118,1040.3869,4181,961.9876,961.9876,949.7712,949.7712,588.2,0,0,0,0,0,1
75,926.29,928.8123,924.9524,927.7038,5088,100.2327,100.4434,99.8014,100.3998,1435.6,103.2135,103.3117,101.9656,102.3157,11457.94,94.5221,94.6032,93.9474,94.096,1902,1040.3869,1042.907,1037.2709,1037.9747,7797,949.6758,952.3922,946.4485,949.0885,581.03,1,0,0,0,0,0
76,927.7038,927.9419,923.5413,923.7773,9181,100.5425,101.1644,100.3154,100.9203,1977.8,102.3157,102.7327,102.3129,102.7038,10717.05,94.096,94.4427,94.0177,94.303,1184,1037.9747,1040.2857,1033.9224,1035.5497,4407,945.3595,950.452,943.708,949.8563,581.51,0,0,0,0,0,0
77,923.7773,925.525,922.7521,924.698,7666,101.1374,101.3447,100.7813,100.8787,2307.3,102.7038,102.8298,101.4819,101.5411,9951.97,94.303,94.3415,87.7983,93.9686,1558,1035.5497,1038.445,1031.7071,1033.1322,10622,949.6619,964.3004,946.0843,964.3004,579.97,0,0,0,0,0,0
78,924.698,924.9205,920.7908,922.2274,8689,100.9499,101.1922,100.7367,100.9293,1398.8,101.5411,101.6336,100.3591,100.4448,13394.52,93.9686,94.1024,91.9281,92.0902,1390,1033.1322,1033.5457,1028.7851,1030.9922,3842,962.3399,972.3673,962.3399,967.7994,590.42,0,0,1,0,0,0
79,922.2274,923.5819,920.4046,921.7637,9329,100.3495,101.0172,100.271,100.4746,523.8,100.4448,100.4972,100.1744,100.2784,7673.78,92.0902,92.1039,92.0299,92.036,1888,1030.9922,1033.2569,1027.763,1028.6205,4068,966.8287,988.5687,966.8287,988.5687,584.08,0,0,0,0,-1,0
80,921.7637,923.0063,917.339,917.9455,7153,100.0805,100.5149,99.8071,99.892,481.2,100.2784,101.6631,100.1085,101.3717,6966.31,92.036,95.055,88.7871,91.9559,1863,1028.6205,1031.542,1025.398,1026.4624,8475,988.8721,993.3371,984.1806,984.325,579.63,0,0,0,0,0,1
81,917.9455,918.5133,915.8832,916.0512,2365,100.052,100.0629,99.8878,99.9584,588.9,101.3717,101.3801,100.3849,100.5123,7915.03,91.9559,92.0112,90.5876,90.6131,1606,1026.4624,1028.491,1021.1675,1024.2332,10961,983.2682,993.4772,982.3224,993.4772,584.35,-1,0,0,0,0,0
